iden;cilindrada;potencia;combustible;revoluciones;cilindros;longitud;ancho;altura;maletero;peso;plazas;velocidad;poca_aceleracion;traccion;consumo;coste/Km;precio;marca
'ALFA ROMEO-Alfa 164 2.0 TS';1962;148;Gasolina;5800;4;455;176;140;504;1200;5;210;9.2;Delantera;12.1;17.5;3120;ALFA ROMEO
'ALFA ROMEO-Alfa 164 2.5 TD';2500;117;Diesel;4200;4;455;176;140;504;1320;5;200;10.8;Delantera;7.6;9.6;3967;ALFA ROMEO
'ALFA ROMEO-Alfa 164 3.0 V-6 QV';2959;200;Gasolina;5800;6;455;176;140;504;1430;5;237;7.7;Delantera;11.3;16.8;5562;ALFA ROMEO
'ALFA ROMEO-Alfa 164 3.0 V6';2959;184;Gasolina;5600;6;455;176;140;504;1300;5;230;7.9;Delantera;12.3;17.7;4800;ALFA ROMEO
'ALFA ROMEO-Alfa 33 1.3';1351;88;Gasolina;6000;4;407;161;135;400;940;5;176;10.3;Delantera;8.2;13.2;1587;ALFA ROMEO
'ALFA ROMEO-Alfa 33 1.5 IE';1490;98;Gasolina;6000;4;407;161;135;400;970;5;181;10.2;Delantera;8.6;13.5;1698;ALFA ROMEO
'ALFA ROMEO-Alfa 33 1.7 IE';1712;110;Gasolina;5800;4;407;161;135;400;970;5;190;9.4;Delantera;8.9;13.8;1882;ALFA ROMEO
'ALFA ROMEO-Alfa 33 16v';1712;137;Gasolina;6500;4;407;161;135;400;1000;5;208;8.2;Delantera;9;14;2182;ALFA ROMEO
'ALFA ROMEO-Alfa 75 1.6 IE';1570;107;Gasolina;6000;4;433;163;140;500;1090;5;180;11.3;Trasera;7.9;13.7;1992;ALFA ROMEO
'ALFA ROMEO-Alfa 75 1.8 IE';1779;122;Gasolina;5500;4;433;163;140;500;1100;5;190;10.4;Trasera;8.9;14.7;2212;ALFA ROMEO
'ALFA ROMEO-Alfa 75 1.8 Turbo Am‚rica';1779;155;Gasolina;5800;4;442;166;140;380;1240;5;210;7.6;Trasera;8.1;15.4;2957;ALFA ROMEO
'ALFA ROMEO-Alfa 75 2.0 TD';1995;95;Diesel;4300;4;433;163;140;500;1220;5;175;12.4;Trasera;8.5;10.1;2502;ALFA ROMEO
'ALFA ROMEO-Alfa 75 2.0 Twin Spark';1962;148;Gasolina;5800;4;433;166;140;500;1160;5;205;8.2;Trasera;8.6;15.8;2607;ALFA ROMEO
'ALFA ROMEO-Alfa 75 2.4 TD';2393;112;Diesel;4200;4;433;166;140;500;1260;5;185;11.7;Trasera;7.4;10.2;2782;ALFA ROMEO
'ALFA ROMEO-Alfa 75 3.0 V6 Q';2959;192;Gasolina;6000;6;442;166;140;380;1300;5;222;7.5;Trasera;11.9;18.7;3719;ALFA ROMEO
'AUDI-100 CD';2309;133;Gasolina;5500;5;479;178;143;510;1370;5;202;10.2;Delantera;10.5;16.1;3535;AUDI
'AUDI-200 Turbo';2226;200;Gasolina;5800;5;479;181;142;570;1330;5;231;7.6;Delantera;12.6;17.6;5835;AUDI
'AUDI-200 Turbo Quattro';2226;200;Gasolina;5800;5;479;181;142;570;1300;5;231;7.5;4x4;12.6;17.6;6590;AUDI
'AUDI-80 1.8 E';1781;112;Gasolina;5800;4;439;169;139;453;1050;5;195;10.9;Delantera;9.1;14.8;2738;AUDI
'AUDI-80 TD';1588;80;Diesel;4500;4;439;169;139;453;1090;5;174;14.6;Delantera;6.8;9.8;2821;AUDI
'AUDI-90 2.0 20v Front';1994;160;Gasolina;6200;5;439;169;139;453;1200;5;215;9;Delantera;10;15.7;4162;AUDI
'AUDI-90 2.0 20v Quattro';1994;160;Gasolina;6200;5;439;169;138;373;1280;5;215;8.9;4x4;11;16.8;4718;AUDI
'AUDI-90 2.2 E';2226;136;Gasolina;5700;5;439;169;139;453;1170;5;206;9.2;Delantera;10.1;15.8;3046;AUDI
'AUDI-90 2.2 Quattro';2226;136;Gasolina;5700;5;439;169;139;453;1170;5;206;9.2;4x4;10.1;15.8;4040;AUDI
'AUDI-90 2.3 20v';2309;170;Gasolina;6000;5;439;169;139;453;1200;5;220;8.6;Delantera;11.3;16.8;4308;AUDI
'AUDI-90 2.3 20v Quattro';2309;170;Gasolina;6000;5;439;169;139;373;1320;5;220;8.4;4x4;11.3;16.8;4865;AUDI
'AUDI-90 2.3 E';2309;136;Gasolina;5500;5;439;169;139;453;1170;5;206;9.2;Delantera;10;15.7;3439;AUDI
'AUDI-90 2.3 Quattro';2309;136;Gasolina;5500;5;439;169;139;453;1280;5;206;9.2;4x4;10;15.7;4180;AUDI
'AUDI-Coup‚ 2.0 20v Front';1994;160;Gasolina;6200;5;436;172;137;300;1200;5;215;9;Delantera;11;16.8;4441;AUDI
'AUDI-Coup‚ 2.0 20v Quattro';1994;160;Gasolina;6200;5;436;172;137;255;1320;5;215;8.9;4x4;11;16.8;4998;AUDI
'AUDI-Coup‚ 2.2 E';2226;136;Gasolina;5700;5;436;172;137;300;1170;5;206;9.2;Delantera;11.2;16.7;3841;AUDI
'AUDI-Coup‚ 2.2 Quattro';2226;136;Gasolina;5700;5;436;172;137;300;1170;5;206;9.2;4x4;10.7;16.3;4578;AUDI
'AUDI-Coup‚ 2.3 20v';2309;170;Gasolina;6000;5;436;172;137;300;1200;5;220;8.6;Delantera;11.3;16.8;4626;AUDI
'AUDI-Coup‚ 2.3 20v Quattro';2309;170;Gasolina;6000;5;436;172;137;255;1320;5;220;8.4;4x4;11.3;16.8;5186;AUDI
'AUDI-Coup‚ 2.3 E';2309;136;Gasolina;5500;5;436;172;137;300;1170;5;206;9.2;Delantera;10;15.7;4044;AUDI
'AUDI-Coup‚ 2.3 Quattro';2309;136;Gasolina;5500;5;436;172;137;300;1280;5;206;9.2;4x4;10;15.7;4784;AUDI
'AUDI-V-8';3562;250;Gasolina;5800;8;486;181;142;570;1710;5;235;9.2;4x4;14;20.6;9760;AUDI
'BENTLEY-Continental';6750;226;Gasolina;4300;8;520;183;152;380;2430;5;208;10;Trasera;17.6;24.1;34173;BENTLEY
'BENTLEY-Eight';6750;226;Gasolina;4300;8;527;188;148;550;2350;5;204;10;Trasera;17.6;23.7;18066;BENTLEY
'BENTLEY-Mulsanne S';6750;218;Gasolina;4300;8;527;188;148;550;2350;5;204;10;Trasera;17.6;23.7;21110;BENTLEY
'BENTLEY-Turbo R';6750;335;Gasolina;4500;8;527;188;148;550;2410;5;217;7;Trasera;16.1;22;25003;BENTLEY
'BERTONE-Freeclimber';2443;116;Diesel;4800;6;414;165;188;464;1580;5;170;13.9;4x4;15;14.2;3633;BERTONE
'BMW-316i';1596;102;Gasolina;5500;4;432;164;138;425;1085;5;182;12.2;Trasera;9.6;14.2;2374;BMW
'BMW-318i';1796;113;Gasolina;5500;4;443;170;139;435;1145;5;198;11.3;Trasera;10.1;15.7;2959;BMW
'BMW-318i S';1796;136;Gasolina;6000;4;432;164;138;425;1085;5;202;9.9;Trasera;8.5;14.3;2774;BMW
'BMW-320i';1990;129;Gasolina;6000;6;432;164;138;425;1125;5;198;10.2;Trasera;9.3;15;3009;BMW
'BMW-320i Cabriolet';1990;129;Gasolina;6000;6;432;164;137;312;1280;4;195;11;Trasera;9.3;15;4454;BMW
'BMW-324 TD Touring';2443;115;Diesel;4800;6;432;164;138;370;1300;5;187;12.3;Trasera;7;9.9;4445;BMW
'BMW-325i 4p';2494;192;Gasolina;5900;6;443;170;139;435;1295;5;233;7.9;Trasera;11.8;18.4;4279;BMW
'BMW-325i Cabriolet';2494;170;Gasolina;5800;6;432;164;137;312;1310;4;217;9;Trasera;11.5;18.1;5214;BMW
'BMW-325iX';2494;170;Gasolina;5800;6;432;166;140;404;1300;5;214;9;4x4;11.7;18.3;4949;BMW
'BMW-520i';1991;150;Gasolina;5900;6;472;175;141;460;1425;5;211;10.6;Trasera;9.8;15.5;4019;BMW
'BMW-524 TD';2443;115;Diesel;4800;6;472;175;141;460;1480;5;192;12.9;Trasera;7;9.9;4399;BMW
'BMW-525i';2494;192;Gasolina;5900;6;472;175;141;460;1475;5;230;8.6;Trasera;9;15;5144;BMW
'BMW-535i';3430;211;Gasolina;5700;6;472;175;141;460;1525;5;235;7.7;Trasera;14.5;19.6;6139;BMW
'BMW-730i';2986;188;Gasolina;5800;6;491;184;141;500;1600;5;222;9.3;Trasera;15;20.5;6259;BMW
'BMW-735i';3430;211;Gasolina;5700;6;491;184;141;500;1600;5;230;8.3;Trasera;15;21;7829;BMW
